mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error
,14.26,102.5,,0.1073,0.2135,,0.09756,,0.07032,0.4388,0.7096,3.384,44.91,0.006789,0.05328,,0.02252,0.03672,
21.16,23.04,137.2,1404,0.09428,0.1022,0.1097,0.08632,0.1769,0.05278,0.6917,1.127,4.303,,,,,,0.01083,0.001987
,21.38,110,904.6,0.1121,,0.1525,0.0917,,0.0633,,,,102.6,,,0.02741,,0.01468,
17.14,16.4,116,912.7,0.1186,0.2276,0.2229,,,0.07413,,,7.276,111.4,0.008029,0.03799,0.03732,,0.02308,
14.58,21.53,,644.8,0.1054,0.1868,0.1425,0.08783,0.2252,,0.2545,0.9832,2.11,,,0.03055,0.02681,,0.01454,0.003711
18.61,20.25,122.1,1094,0.0944,,0.149,,,,0.8529,1.849,5.632,93.54,,0.02722,,,0.02293,0.004217
15.3,25.27,102.4,732.4,,0.1697,0.1683,0.08751,0.1926,0.0654,0.439,1.012,3.498,43.5,,0.03057,0.03576,0.01083,,
,15.05,,,0.09847,0.1157,,0.07953,,,0.6003,,4.655,,0.005627,,,,0.01925,0.003742
18.63,25.11,,1088,0.1064,0.1887,0.2319,0.1244,0.2183,0.06197,,1.466,,105,,,0.05196,,0.02007,0.00456
11.84,18.7,77.93,440.6,0.1109,0.1516,0.1218,0.05182,0.2301,,,,3.475,41,,,0.04205,0.01044,0.02273,0.005667
17.02,23.98,,899.3,0.1197,0.1496,,0.1203,0.2248,,0.6009,1.398,3.999,67.78,0.008268,0.03082,,,0.02102,0.003854
,26.47,127.9,,0.09401,,0.1657,0.07593,,0.06261,0.5558,0.6062,3.528,68.17,0.005015,0.03318,0.03497,0.009643,,0.003896
16.13,17.88,107,807.2,0.104,,,0.07752,0.1998,0.06515,0.334,0.6857,,35.03,0.004185,,0.02664,0.009067,0.01703,
,,,869.5,,0.1336,,0.06018,0.1896,0.05656,,,3.008,45.19,0.005776,0.02499,0.03695,0.01195,,0.002665
14.25,21.72,93.63,633,0.09823,,0.1319,,0.1885,0.06125,0.286,1.019,,,0.005878,0.02995,,0.01161,0.02028,0.004022
13.03,18.42,82.61,,0.08983,,,0.02923,0.1467,0.05863,0.1839,2.342,1.17,14.16,0.004352,0.004899,0.01343,0.01164,0.02671,
,,95.54,698.8,0.09387,0.05131,0.02398,0.02899,0.1565,0.05504,1.214,2.188,8.077,106,0.006883,,,0.01917,,
,,88.4,559.2,0.1016,0.1255,,,,0.06419,,0.5914,,18.52,0.005367,0.02239,0.03049,0.01262,0.01377,0.003187
13.44,,,563,0.08162,,,0.02031,0.1784,,0.2385,0.8265,,20.53,0.00328,0.01102,0.0139,0.006881,0.0138,0.001286
,21.35,,371.1,0.1227,,0.1044,0.05669,0.1895,0.0687,0.2366,1.428,1.822,16.97,0.008064,,0.02595,0.01037,0.01357,0.00304
19.07,24.81,128.3,,0.09081,0.219,0.2107,0.09961,0.231,0.06343,,,8.83,104.9,0.006548,0.1006,0.09723,,,0.007646
13.28,20.28,87.32,545.2,0.1041,0.1436,,,,,,,2.427,31.33,0.005072,0.02147,0.02185,,,
13.17,21.81,85.42,531.5,0.09714,0.1047,0.08259,,0.1746,0.06177,,0.6123,1.334,,,0.01384,0.01452,0.006853,0.01113,0.00172
,17.6,,1076,0.1099,,0.1974,0.1009,0.1907,0.06049,0.6289,0.6633,4.293,71.56,0.006294,,,0.01695,0.02428,0.003535
,16.84,,201.9,0.086,0.05943,0.01588,0.005917,0.1769,0.06503,0.1563,0.9567,1.094,8.205,0.008968,0.01646,0.01588,0.005917,0.02574,0.002582
13.17,18.66,,534.6,0.1158,0.1231,0.1226,0.0734,0.2128,0.06777,0.2871,0.8937,1.897,24.25,0.006532,0.02336,,0.01215,,0.003643
,,78.04,449.3,0.1031,0.09092,,0.02749,0.1675,,0.2636,0.7294,1.848,19.87,0.005488,,,,,
13.49,22.3,86.91,,0.08752,0.07698,0.04751,0.03384,0.1809,,,1.353,,20.2,0.004455,0.01382,0.02095,0.01184,0.01641,0.001956
,,74.72,,0.08637,0.04966,0.01657,0.01115,0.1495,0.05888,0.4062,1.21,,,0.005857,0.009758,0.01168,0.007445,0.02406,0.001769
,,87.21,,,0.06059,,0.01723,0.1353,,0.1872,0.9234,1.449,14.55,,,0.01079,0.007956,,
,,75.71,437.6,0.08261,0.04751,0.01972,0.01349,0.1868,0.0611,0.2273,0.6329,,17.47,,,0.01311,0.008,,
18.22,18.7,120.3,,0.1148,0.1485,0.1772,0.106,0.2092,0.0631,,1.593,4.877,98.81,0.003899,0.02961,0.02817,0.009222,0.02674,
15.1,,97.26,712.8,0.09056,0.07081,,0.03334,0.1616,,0.3105,0.8339,,,,,0.01603,,,0.001629
11.52,,73.34,409,0.09524,0.05473,0.03036,0.02278,0.192,0.05907,,0.9591,2.183,23.47,0.008328,,0.01349,0.00867,0.03218,0.002386
19.21,18.57,125.5,1152,0.1053,,0.1323,0.08994,0.1917,,,1.193,4.837,102.5,,,,,,0.002608
14.71,21.59,95.55,,,,,0.08123,0.2027,0.06758,,1.15,2.735,40.09,,0.02855,0.02572,0.01272,0.01817,0.004108
13.05,19.31,,527.2,0.0806,0.03789,,0.004167,0.1819,0.05501,0.404,,2.595,32.96,0.007491,,,,,0.00299
8.618,11.79,54.34,,0.09752,0.05272,0.02061,0.007799,0.1683,0.07187,0.1559,,1.046,,0.01011,0.01055,,,0.0209,0.002788
10.17,14.88,,311.9,0.1134,0.08061,0.01084,0.0129,,0.0696,,1.441,,,,0.01099,0.007665,,,0.005953
8.598,20.98,54.66,221.8,,,,0.009259,0.1828,0.06757,0.3582,2.067,2.493,18.39,0.01193,0.03162,,0.009259,,0.003048
14.25,22.15,96.42,,0.1049,0.2008,,0.08653,,0.07292,0.7036,,5.373,60.78,0.009407,0.07056,0.06899,0.01848,0.017,0.006113
9.173,,59.2,260.9,,,0.05988,0.0218,0.2341,0.06963,0.4098,2.265,2.608,23.52,0.008738,0.03938,,0.0156,0.04192,0.005822
12.68,,82.69,499,,,0.1128,0.06873,0.1905,,0.4255,1.178,,36.46,,,0.02973,,,0.003601
14.78,23.94,97.4,668.3,0.1172,0.1479,,0.09029,0.1953,0.06654,,,2.45,35.24,0.006703,0.0231,0.02315,0.01184,,0.003224
9.465,21.01,,269.4,0.1044,0.07773,0.02172,,0.1717,,,2.011,1.66,,0.01052,0.01755,,0.009333,,
11.31,19.04,,394.1,0.08139,0.04701,0.03709,,,0.05667,0.2727,,1.831,18.15,,0.009216,0.02063,,0.02183,0.002146
,,,250.5,,,,0.04375,,,0.3274,1.194,1.885,,0.009549,0.08606,0.3038,0.03322,0.04197,
12.78,16.49,81.37,502.5,,0.05234,0.03653,,0.159,,,0.8732,,,0.007962,,,0.008662,,
18.94,,123.6,,,0.1029,0.108,0.07951,0.1582,0.05461,,,5.486,,,0.01652,,0.0137,,0.001698
8.888,14.64,58.79,244,,,0.08606,0.02872,,0.0898,,0.8522,3.168,25.44,0.01721,,0.05671,0.01766,0.02541,0.02193
17.2,24.52,114.2,929.4,0.1071,0.183,0.1692,0.07944,,,0.5907,1.041,,,,,,0.01127,0.01527,0.006299
13.8,,90.43,584.1,,,0.07789,,0.1662,,0.2787,0.6205,,23.35,,0.02065,0.01759,0.009206,,
12.31,16.52,79.19,470.9,0.09172,0.06829,,0.02272,0.172,0.05914,0.2505,1.025,,,0.004854,0.01819,0.01826,,0.01386,0.002304
16.07,19.65,104.1,817.7,0.09168,,,,,0.05391,,,,79.25,,0.02203,,0.01809,,0.001948
13.53,,87.91,559.2,0.1291,0.1047,0.06877,0.06556,0.2403,0.06641,0.4101,,2.652,32.65,,0.02839,0.01162,0.008239,0.02572,
,16.15,120.2,1006,,0.2146,0.1684,0.108,0.2152,,0.9806,,6.311,134.8,0.00794,0.05839,0.04658,0.0207,,0.007054
,23.97,,1245,,,0.3754,,,,0.9317,,8.649,116.4,0.01038,,0.1091,,0.07895,0.005987
,18,83.19,,0.09934,,,0.02315,0.1718,0.05997,0.2655,,1.778,20.35,0.005293,0.01661,0.02071,0.008179,0.01748,0.002848
,,73.81,401.5,0.1102,,,0.02233,0.1842,0.07005,,2.174,2.077,,,,0.02586,0.007506,0.01816,0.003976
,15.86,86.49,520,0.1078,,0.1169,0.06987,0.1942,0.06902,0.286,,1.535,,,0.03575,0.0398,,0.02134,0.004603
25.22,24.91,,1878,0.1063,,0.3339,0.1845,0.1829,,0.8973,1.474,7.382,120,,0.05693,0.0573,0.0203,0.01065,
19.1,26.29,129.1,1132,,0.1791,0.1937,,0.1634,,0.519,,5.801,67.1,,0.0605,0.02134,,0.03056,0.01039
12,15.65,76.95,,0.09723,,,,0.2079,0.05968,,1.255,1.441,16.16,,0.01812,,,,0.002607
18.46,18.52,,,,0.1053,,0.08795,0.2132,0.06022,,1.475,,,0.006471,,,0.0142,,0.003755
14.48,21.46,94.25,648.2,0.09444,0.09947,0.1204,0.04938,,0.05636,0.4204,,3.301,38.87,0.009369,0.02983,0.05371,0.01761,,0.003249
19.02,24.59,122,1076,,0.1206,0.1468,0.08271,0.1953,,,,3.055,,0.003872,0.01842,,0.012,0.01964,0.003337
12.36,21.8,79.78,466.1,,0.09445,0.06015,0.03745,0.193,0.06404,0.2978,,2.203,20.95,0.007112,0.02493,0.02703,0.01293,,0.004463
14.64,15.24,95.77,,,,0.09966,0.07064,,0.06346,,0.7372,3.814,42.76,0.005508,0.04412,0.04436,0.01623,0.02427,
14.62,24.02,,662.7,0.08974,,0.03102,,0.1685,0.05866,0.3721,,,33.76,,0.01818,0.01121,0.008606,,0.002893
15.37,22.76,,728.2,0.092,0.1036,,0.07483,0.1717,0.06097,0.3129,,,29.44,0.009882,0.02444,,0.01763,0.02471,
13.27,,84.74,551.7,0.07355,0.05055,,0.02648,,0.05318,,1.153,2.701,36.35,,0.01038,0.01358,0.01082,,
13.45,18.3,,555.1,,,0.03974,0.0278,0.1638,0.0571,,1.373,2.099,25.22,,,0.01872,0.009366,0.01884,0.001817
15.06,,100.3,705.6,,0.1553,,0.08815,0.1855,0.06284,,0.9644,3.706,47.14,0.00925,0.03715,,0.01851,0.01498,
20.26,,,1264,,,0.1465,,0.2095,0.05649,,1.509,4.554,87.87,0.006016,0.03482,0.04232,0.01269,,0.004411
12.18,17.84,,451.1,,,0.0249,0.02941,0.19,,0.3661,1.511,2.41,,0.005433,0.01179,0.01131,0.01519,,
,,62.11,294.5,,0.05301,0.006829,0.007937,0.135,0.0689,0.335,,2.132,20.05,0.01113,0.01463,0.005308,0.00525,0.01801,0.005667
,,,412.6,0.08983,0.07525,,0.0335,0.162,,,0.5391,,15.75,,0.0133,0.01693,0.006884,0.01651,0.002551
14.42,19.77,,642.5,,,0.09388,0.05839,,,0.2895,1.851,2.376,26.85,,0.02895,0.03321,0.01424,,0.004452
13.61,,88.05,582.7,0.09488,0.08511,0.08625,0.04489,0.1609,,0.4565,1.29,2.861,43.14,0.005872,0.01488,0.02647,,0.01465,
,13.43,,143.5,0.117,0.07568,,0,0.193,0.07818,0.2241,1.508,1.553,9.833,0.01019,0.01084,0,0,,
12.18,20.52,77.22,458.7,,,0.02383,,0.1739,0.05677,,1.571,,,0.00508,0.006098,,0.006797,0.01447,0.001532
9.876,,63.95,298.3,0.1005,0.09697,0.06154,0.03029,0.1945,0.06322,0.1803,,,11.77,,0.02196,,0.01112,,
10.49,,67.41,336.1,,,0.02995,,0.2217,0.06481,0.355,1.534,2.302,,0.007595,0.02219,,0.008614,0.0271,0.003451
13.11,,87.21,,0.1398,0.1765,,,0.1925,,0.3908,,2.41,34.66,0.007162,,0.05473,,,0.007098
11.64,18.33,,412.5,0.1142,,,0.03485,0.1801,0.0652,0.306,1.657,2.155,,0.00854,0.0231,0.02945,0.01398,,0.00384
12.36,,,466.7,0.08477,,0.02643,0.01921,,,0.1199,,0.8484,,0.003457,0.01047,,0.005558,0.01251,0.001356
22.27,19.67,152.8,,0.1326,0.2768,0.4264,,0.2556,0.07039,,,10.05,,0.006515,0.08668,0.104,0.0248,0.03112,
11.34,,,396.5,0.08759,0.06575,,0.01899,0.1487,0.06529,,,1.597,,0.009113,0.01557,,0.006435,0.01568,0.002477
,16.99,,290.2,0.1037,,0.04334,0.01778,0.1584,0.07065,0.403,1.424,,22.87,,,,0.01023,0.03281,0.004638
12.63,20.76,82.15,480.4,0.09933,0.1209,0.1065,,0.1735,0.0707,0.3424,1.803,2.711,20.48,0.01291,,,,0.02144,0.005891
14.26,19.65,,629.9,,,,0.07798,,0.07769,0.3628,1.49,3.399,,0.005298,0.07446,0.1435,0.02292,0.02566,0.01298
10.51,,,334.2,,,0.06476,0.03068,,0.07782,0.3336,1.86,2.041,19.91,0.01188,0.03747,,0.01544,0.02287,0.006792
8.726,15.83,55.84,230.9,0.115,0.08201,0.04132,,0.1649,,,,1.354,8.966,0.008261,0.02213,,0.0104,0.01708,0.003806
11.93,,76.53,,,0.07849,0.03328,,0.1688,0.06194,0.3118,0.9227,,,,0.02507,0.01835,,0.01278,0.003856
8.95,,58.74,245.2,0.09462,0.1243,,0.02308,0.1305,0.07163,0.3132,0.9789,,16.94,0.01835,,0.09263,,0.02384,
,,98.64,,,,0.169,0.08923,0.2157,0.06768,0.4266,0.9489,2.989,41.18,0.006985,0.02563,0.03011,0.01271,0.01602,0.003884
,,,782.6,0.1155,,0.2133,0.09479,0.2096,0.07331,0.552,1.072,,58.63,,,0.0595,,,0.005984
17.95,20.01,114.2,982,0.08402,,,0.05596,,0.05025,0.5506,1.214,3.357,,0.004024,0.008422,0.02291,0.009863,0.05014,0.001902
11.41,10.82,73.34,403.3,,0.06685,0.03512,0.02623,0.1667,0.06113,0.1408,0.4607,1.103,,0.00604,0.01529,,0.00646,,0.002206
18.66,17.12,121.4,,0.1054,0.11,0.1457,0.08665,0.1966,0.06213,0.7128,,4.895,90.47,0.008102,,0.03342,0.01601,,0.00457
24.25,20.2,166.2,,0.1447,0.2867,0.4268,0.2012,0.2655,0.06877,1.509,,9.807,233,0.02333,0.09806,0.1278,,0.04547,0.009875
14.5,10.89,94.28,640.7,0.1101,,0.08842,0.05778,0.1856,0.06402,0.2929,,1.928,24.19,0.003818,,0.02882,,0.0191,0.002808
13.37,,,,,,0.08092,0.028,0.1422,,0.1639,1.14,,14.66,,0.0327,,0.01038,0.01208,0.004076
,17.21,88.44,588.7,0.08785,,0.0142,,0.1614,0.0589,0.2185,,1.495,17.91,0.004599,0.009169,0.009127,0.004814,0.01247,
13.61,,,,,0.07862,0.05285,0.03085,0.1761,0.0613,0.231,1.005,1.752,,0.004088,0.01174,0.01796,0.00688,0.01323,
19,18.91,,1138,0.08217,0.08028,,0.05627,0.1946,,0.6896,1.342,5.216,81.23,0.004428,0.02731,0.0404,0.01361,,0.002686
15.1,16.39,,674.5,0.115,0.1807,0.1138,0.08534,0.2001,0.06467,0.4309,1.068,2.796,39.84,0.009006,0.04185,,0.02258,0.02353,0.004984
19.79,25.12,130.4,1192,0.1015,0.1589,0.2545,0.1149,0.2202,,0.4953,,2.765,,,,,0.01043,0.01578,0.003224
,13.29,,455.8,,0.09509,0.02855,0.02882,0.188,0.06471,,0.8163,,,0.006773,0.02456,0.01018,0.008094,0.02662,
15.46,,101.7,,,0.1223,0.1466,,0.1931,0.05796,,,3.094,,,,0.02813,0.01093,0.01397,0.002461
16.16,21.54,106.2,809.8,0.1008,0.1284,0.1043,0.05613,0.216,0.05891,0.4332,1.265,,43.68,0.004877,0.01952,,0.009231,,0.002373
,,102,761.7,0.09462,0.09462,0.07135,0.05933,0.1816,0.05723,0.3117,,,27.94,0.005217,0.01515,0.01678,0.01268,,0.00233
18.45,21.91,,,0.0943,0.09709,0.1153,,0.1692,0.05727,0.5959,1.202,3.766,,,,0.02855,0.009148,0.01492,0.002205
12.77,,,506.3,0.09055,,,0.02704,,,,,,19.87,0.007499,0.01202,0.02332,0.00892,0.01647,0.002629
,16.67,74.72,423.6,,,0.03592,0.026,0.1339,0.05945,,2.508,3.258,34.37,0.006578,0.0138,,0.01307,,0.003707
11.43,15.39,,,0.09639,0.06889,0.03503,0.02875,0.1734,0.05865,0.1759,0.9938,1.143,12.67,,0.01521,,0.008602,,
14.95,17.57,96.85,678.1,,,0.1539,,0.1957,0.06216,1.296,1.452,8.419,101.9,,,,0.02801,0.05168,0.002887
11.28,13.39,,384.8,,0.1136,0.04635,0.04796,0.1771,,0.3384,1.343,1.851,26.33,0.01127,0.03498,0.02187,0.01965,0.0158,
9.738,11.97,,288.5,0.0925,0.04102,0,,0.1903,,0.1988,0.496,,12.26,0.00604,0.005656,0,0,0.02277,0.00322
16.11,18.05,,813,0.09721,0.1137,0.09447,,0.1861,0.06248,0.7049,1.332,4.533,74.08,0.00677,0.01938,0.03067,0.01167,,
11.43,17.31,,,0.1092,,,,0.1645,,0.2843,1.908,1.937,,,0.01735,,0.00952,0.02282,0.003526
,,83.74,512.2,,,0.04894,0.03088,0.1778,0.06235,0.2143,0.7712,1.689,16.64,,0.01563,0.0151,0.007584,,0.001887
10.75,,68.26,355.3,0.07793,0.05139,0.02251,,0.1399,0.05688,,1.239,1.806,,0.006547,0.01781,0.02018,,0.01671,0.00236
11.9,14.65,78.11,432.8,,0.1296,,,0.1995,0.07839,,,3.021,25.03,0.01017,0.04741,0.02789,0.0111,0.03127,0.009423
,16.58,78.99,432,0.1091,0.17,,0.07415,0.2678,0.07371,0.3197,,2.281,24.72,0.005427,0.03633,,0.01843,0.05628,
,18.77,97.84,689.5,0.08138,0.1167,,,,0.06493,,1.909,3.271,39.43,,,0.05303,0.01527,0.03356,0.009368
14.44,15.18,,,,0.1021,,0.05532,0.1724,,,0.7394,2.12,21.2,,,0.03114,0.01493,,
13.74,17.91,88.12,585,0.07944,0.06376,0.02881,,0.1473,,0.25,0.7574,1.573,21.47,0.002838,0.01592,,0.005828,0.01329,
13,20.78,83.51,519.4,0.1135,0.07589,0.03136,0.02645,0.254,0.06087,0.4202,,2.873,34.78,0.007017,0.01142,0.01949,0.01153,0.02951,
8.219,20.7,,203.9,0.09405,0.1305,0.1321,0.02168,,0.08261,,,,10.21,0.01243,,0.07753,0.01022,,0.01178
9.731,15.34,63.78,300.2,0.1072,,0.4108,0.07857,0.2548,0.09296,0.8245,,4.073,,0.01097,0.09586,,,0.03546,
,13.08,,,0.09754,0.05113,0.01982,0.01786,,0.06105,0.2251,,,15.48,,0.008985,0.01196,0.008232,0.02388,0.001619
13.15,15.34,,538.9,0.09384,0.08498,0.09293,,0.1822,0.06207,0.271,,1.819,22.79,0.008584,,0.03047,,0.02769,
12.25,17.94,,460.3,0.08654,0.06679,0.03885,0.02331,0.197,0.06228,0.22,0.9823,1.484,16.51,0.005518,,0.01994,,,
17.68,,,,0.1115,0.1665,0.1855,,0.1971,0.06166,0.8113,1.4,5.54,93.91,0.009037,0.04954,0.05206,0.01841,0.01778,0.004968
16.84,19.46,,,0.07445,,,,0.1844,0.05268,0.4789,2.06,,46.61,0.003443,,,0.0111,0.0152,0.001519
12.06,,76.84,,0.09311,0.05241,0.01972,,0.159,0.05907,0.1822,0.7285,1.171,13.25,0.005528,,,,0.01465,0.00253
10.9,12.96,68.69,366.8,0.07515,0.03718,0.00309,,0.1442,0.05743,0.2818,0.7614,1.808,,0.006142,,0.001835,0.003576,0.01637,
11.75,20.18,,419.8,0.1089,0.1141,0.06843,0.03738,0.1993,0.06453,,,,38.34,,0.02405,0.04167,0.01152,0.03397,0.005061
19.19,15.94,126.3,,,0.1185,0.1193,0.09667,0.1741,,,0.6336,6.971,,0.009406,0.03055,0.04344,0.02794,0.03156,0.003362
19.59,,,1214,,,0.2508,,,0.06082,,1.048,,97.07,,,,0.01303,0.01686,0.003318
12.34,22.22,79.85,464.5,0.1012,0.1015,0.0537,,0.1551,0.06761,,,1.955,21.55,0.01134,0.03175,,0.01135,0.01879,
,,152.1,1686,0.08439,0.1145,0.1324,0.09702,0.1801,0.05553,0.6642,,,,0.00491,0.02544,,0.01623,,
14.97,,95.5,690.2,,0.05352,,0.01939,0.1515,0.05266,,1.065,,,,,0.008268,0.006432,0.01924,
10.8,9.71,68.77,,0.09594,0.05736,0.02531,0.01698,0.1381,0.064,,0.4064,1.126,,0.007809,,,,0.01254,
16.78,,,886.3,0.08865,0.09182,0.08422,,,0.05534,0.599,1.391,,,0.006123,0.0247,,,0.02091,
,24.68,116.1,984.6,0.1049,0.1603,0.2159,,0.1538,0.06365,,,7.337,,0.006174,0.03634,0.04644,,0.01145,
14.97,,96.22,685.9,,,0.02602,0.03781,0.178,0.0565,0.2713,,,24.28,0.00508,0.0137,0.007276,0.009073,0.0135,0.001706
12.32,12.39,,464.1,0.1028,,0.03987,0.037,0.1959,0.05955,0.236,0.6656,,17.43,,,0.01683,,0.01924,
13.43,19.63,85.84,565.4,0.09048,0.06288,,,0.1598,,0.4697,,,43.4,0.006003,0.01063,,0.009443,,0.001868
15.46,11.89,102.5,,0.1257,0.1555,0.2032,,0.1966,0.07069,,,2.805,44.64,,0.02321,,0.0132,,0.004168
,14.71,70.21,,0.1006,0.05743,,0.02583,0.1566,,,1.805,1.377,19.08,0.01496,0.02121,0.01453,0.01583,0.03082,0.004785
10.66,15.15,67.49,,0.08792,,0,,0.1928,,,1.925,,,,0.01017,,0,0.03265,0.001002
,14.45,,227.2,0.09138,,0,0,0.1722,0.06724,0.2204,0.7873,1.435,,,,,0,,
,18.06,64.6,302.4,,0.1294,0.1307,0.03716,0.1669,0.08116,0.4311,,3.132,27.48,0.01286,0.08808,0.1197,0.0246,,
,20.11,,832.9,0.09831,,,0.08866,,0.06323,0.3037,1.284,2.482,,,0.04094,0.05371,0.01813,0.01682,0.004584
13.01,22.22,82.01,526.4,,0.01938,0.001595,0.001852,,0.05234,0.1731,1.142,1.101,14.34,,,0.001595,0.001852,0.01613,0.0009683
12.81,13.06,81.29,508.8,0.08739,0.03774,0.009193,,0.1466,0.06133,0.2889,0.9899,1.778,21.79,,0.006364,,0.007408,0.01065,0.003351
27.22,,182.1,2250,,0.1914,,0.1878,,0.0577,0.8361,1.481,5.82,,,0.02537,0.03109,,,0.002747
,26.57,142.7,1311,0.1141,,0.2487,,,,,,4.414,,0.004253,0.04759,0.03872,,0.01798,0.005295
,20.31,101.2,766.6,0.09597,0.08799,0.06593,0.05189,0.1618,0.05549,0.3699,1.15,,40.98,0.004626,0.02263,0.01954,0.009767,0.01547,0.00243
11.41,14.92,,402,,0.08155,,0.02361,0.1167,0.06217,,1.108,,,0.007356,0.03728,0.05915,,0.02165,
,22.41,98.92,710.6,,0.1052,0.05375,0.03263,,0.06317,0.2054,,1.344,19.53,0.00329,0.01395,0.01774,0.006009,0.01172,0.002575
10.08,,,317.5,,0.04695,0.001597,,0.1703,0.06048,0.4245,1.268,2.68,,,,,,,
18.31,18.58,118.6,1041,,,,,0.1621,,,0.4757,,28.92,0.002866,,0.01412,0.006719,,0.001087
11.71,17.19,74.68,420.3,0.09774,0.06141,0.03809,0.03239,,0.06095,0.2451,0.7655,1.742,17.86,0.006905,0.008704,,0.01185,,0.001671
11.81,,75.27,,0.1007,0.05562,0.02353,0.01553,0.1718,0.0578,0.1859,1.926,1.011,14.47,,0.008776,0.01556,,0.03139,
,15.9,,,,0.07253,0.03844,0.01654,0.1667,0.05474,,0.8355,,18.32,0.005996,0.02212,0.02117,0.006433,0.02025,0.001725
,,94.37,609.9,0.1075,0.2413,0.1981,,,,0.286,2.11,2.112,31.72,,0.1354,,0.01666,0.05113,0.01172
,21.41,,,0.08749,0.06601,0.03112,0.02864,0.1694,0.06287,0.7311,1.748,,,0.004571,,0.02176,,0.03373,0.005875
9.72,18.22,,288.1,,0.02344,0,0,,0.06447,,,2.23,21.69,,,0,0,,0.001688
,,81.15,,0.1034,0.1353,0.1085,0.04562,0.1943,0.06937,,1.809,2.642,,0.009098,,0.03763,0.01321,,0.005672
,23.21,100.4,,,0.198,0.1697,0.08878,0.1737,0.06672,,,,25.2,,0.05122,0.05551,,0.02545,0.004312
12.91,,82.53,516.4,0.07941,0.05366,0.03873,0.02377,,0.05667,0.1942,0.9086,1.493,15.75,0.005298,0.01587,0.02321,0.00842,0.01853,0.002152
